               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.018494,            0.015879,           0.0011046,             0.96549,             0.97824,             0.97896,             0.74546,            0.012903,            0.010095,          0.00053688,           0.0076679,           0.0076679,           0.0076679
                  36,            0.018396,            0.015511,          0.00079301,             0.84996,             0.98206,             0.87185,             0.61689,            0.013941,            0.010399,          0.00044708,            0.007543,            0.007543,            0.007543
                  37,            0.019137,            0.015854,          0.00072701,             0.79796,             0.99668,             0.90811,             0.67145,            0.013595,            0.010558,           0.0004799,            0.007416,            0.007416,            0.007416
                  38,            0.018671,            0.015222,          0.00093633,             0.85222,             0.97614,             0.92611,             0.66714,             0.01346,            0.010947,            0.000543,           0.0072872,           0.0072872,           0.0072872
                  39,            0.018141,            0.015333,          0.00091351,             0.96263,             0.97093,             0.98447,             0.73703,            0.013191,            0.010296,          0.00050308,           0.0071566,           0.0071566,           0.0071566
                  40,            0.018554,            0.015981,          0.00082209,             0.96318,             0.97846,             0.98032,             0.71781,            0.013353,            0.010062,           0.0004728,           0.0070243,           0.0070243,           0.0070243
                  41,            0.017365,            0.015596,          0.00072576,             0.96395,             0.98362,             0.97941,              0.7114,            0.013335,            0.010458,          0.00035936,           0.0068906,           0.0068906,           0.0068906
                  42,            0.018381,            0.015349,           0.0010113,             0.96426,             0.97565,             0.98791,             0.65717,            0.012744,            0.010203,          0.00039132,           0.0067555,           0.0067555,           0.0067555
                  43,            0.018067,            0.015888,          0.00088929,             0.96877,             0.97514,               0.981,             0.70493,            0.012859,            0.010814,           0.0004411,           0.0066191,           0.0066191,           0.0066191
                  44,              0.0181,            0.015395,          0.00092971,             0.96343,             0.97848,             0.97245,             0.66815,            0.012919,             0.01044,          0.00050261,           0.0064816,           0.0064816,           0.0064816
                  45,             0.01742,            0.015106,          0.00090179,             0.85328,              0.9813,             0.92228,             0.71786,            0.012573,            0.010518,          0.00053439,           0.0063432,           0.0063432,           0.0063432
                  46,            0.017337,            0.015471,          0.00063194,              0.9361,             0.80458,             0.87777,             0.68106,            0.012503,            0.009983,          0.00056522,            0.006204,            0.006204,            0.006204
                  47,            0.016937,            0.015071,          0.00079655,             0.84764,             0.98395,             0.91538,             0.68667,            0.012415,            0.010396,          0.00062496,            0.006064,            0.006064,            0.006064
                  48,            0.016993,            0.015123,          0.00059751,             0.95359,               0.984,             0.97515,             0.70088,            0.012431,           0.0099972,          0.00056848,           0.0059235,           0.0059235,           0.0059235
                  49,            0.017077,            0.014915,          0.00072355,             0.96344,             0.97972,             0.97516,             0.72784,            0.012612,            0.010326,          0.00045023,           0.0057826,           0.0057826,           0.0057826
                  50,            0.017601,             0.01523,           0.0007554,             0.85049,             0.98144,             0.91796,             0.65909,            0.012717,            0.010343,           0.0003855,           0.0056413,           0.0056413,           0.0056413
                  51,            0.016599,            0.015367,          0.00059041,             0.84854,             0.98108,             0.91922,             0.65223,             0.01241,            0.010228,          0.00040678,              0.0055,              0.0055,              0.0055
                  52,            0.016497,            0.015394,          0.00077669,             0.95313,             0.98394,             0.96909,             0.67612,            0.012601,             0.01037,          0.00038774,           0.0053587,           0.0053587,           0.0053587
                  53,            0.016082,            0.014585,          0.00060099,             0.84974,             0.97831,             0.90898,             0.67616,            0.012555,            0.010968,          0.00041099,           0.0052174,           0.0052174,           0.0052174
                  54,            0.016157,            0.014387,          0.00054243,             0.85273,             0.97916,             0.91083,              0.6762,            0.012641,            0.010752,          0.00041121,           0.0050765,           0.0050765,           0.0050765
                  55,            0.016377,            0.014767,          0.00055189,             0.78981,              0.9813,             0.88765,             0.67258,            0.012092,            0.010267,          0.00045233,            0.004936,            0.004936,            0.004936
                  56,            0.015993,            0.014871,          0.00075198,             0.96474,             0.98099,             0.97284,             0.68542,            0.012793,            0.011192,          0.00053943,            0.004796,            0.004796,            0.004796
                  57,            0.015504,            0.014504,          0.00098602,             0.79137,               0.984,             0.88764,             0.61961,            0.012118,            0.010929,          0.00056442,           0.0046568,           0.0046568,           0.0046568
                  58,            0.015354,            0.013823,          0.00052046,             0.85026,              0.9813,             0.91538,             0.56261,            0.012222,             0.01085,          0.00046939,           0.0045184,           0.0045184,           0.0045184
                  59,            0.015551,            0.013684,           0.0008083,             0.96596,             0.97504,              0.9784,             0.59657,            0.012426,            0.011375,          0.00053663,           0.0043809,           0.0043809,           0.0043809
                  60,            0.015994,            0.014921,          0.00089202,             0.96642,             0.97459,              0.9682,             0.64561,            0.012263,            0.010666,          0.00040078,           0.0042445,           0.0042445,           0.0042445
                  61,            0.015743,            0.013963,          0.00059188,             0.96418,             0.97704,             0.97016,             0.61316,            0.011947,             0.01008,          0.00035453,           0.0041094,           0.0041094,           0.0041094
                  62,            0.015126,            0.014497,          0.00035778,             0.96194,             0.98348,             0.97442,             0.68471,            0.011574,           0.0099783,          0.00041477,           0.0039757,           0.0039757,           0.0039757
                  63,            0.015022,            0.014432,          0.00062695,             0.96332,             0.98162,              0.9677,             0.68221,            0.012091,            0.010504,           0.0004292,           0.0038434,           0.0038434,           0.0038434
                  64,            0.015294,            0.013948,          0.00081051,              0.9615,             0.98201,             0.97507,             0.72667,            0.012918,            0.011164,          0.00049147,           0.0037128,           0.0037128,           0.0037128
                  65,            0.015135,            0.014525,          0.00045318,             0.96417,             0.98235,             0.97929,             0.72548,            0.012132,            0.011276,          0.00048812,            0.003584,            0.003584,            0.003584
                  66,            0.015231,            0.014411,           0.0006535,             0.96653,             0.97934,             0.97685,              0.6774,            0.012016,            0.010696,          0.00048389,            0.003457,            0.003457,            0.003457
                  67,            0.014979,            0.014096,          0.00040295,             0.96508,             0.95629,             0.97932,             0.72603,            0.011928,            0.010619,          0.00052867,           0.0033321,           0.0033321,           0.0033321
                  68,            0.014699,            0.014155,           0.0004683,             0.96118,             0.97951,             0.97842,              0.7062,             0.01226,            0.011187,          0.00049216,           0.0032093,           0.0032093,           0.0032093
                  69,            0.014852,            0.013798,          0.00083773,              0.9271,             0.80315,              0.8943,             0.67671,            0.012238,            0.010921,          0.00074914,           0.0030888,           0.0030888,           0.0030888
                  70,            0.014764,            0.013958,          0.00057579,             0.95371,             0.98114,             0.97778,             0.77195,             0.01186,            0.010601,          0.00051678,           0.0029706,           0.0029706,           0.0029706
                  71,            0.014209,            0.013914,          0.00043226,             0.84838,              0.9813,             0.92229,             0.72262,            0.012015,            0.010632,          0.00051118,            0.002855,            0.002855,            0.002855
                  72,            0.014503,            0.014012,          0.00073458,             0.84885,             0.98082,             0.92225,             0.62574,            0.012162,            0.010881,          0.00045304,           0.0027419,           0.0027419,           0.0027419
                  73,             0.01493,            0.014461,          0.00042247,             0.84069,             0.98345,             0.92066,             0.62068,            0.011769,             0.01022,          0.00041274,           0.0026316,           0.0026316,           0.0026316
                  74,            0.014035,            0.013607,          0.00055911,             0.95992,             0.98259,              0.9785,             0.74539,            0.011636,            0.010569,          0.00038325,           0.0025241,           0.0025241,           0.0025241
                  75,            0.014145,            0.013669,           0.0004225,             0.96104,              0.9813,             0.97687,             0.71168,            0.011805,            0.010875,          0.00047082,           0.0024195,           0.0024195,           0.0024195
                  76,            0.014153,            0.013581,          0.00052847,              0.8423,             0.98027,             0.92218,             0.70781,             0.01186,            0.010823,          0.00050973,            0.002318,            0.002318,            0.002318
                  77,            0.013625,            0.013807,          0.00036758,             0.95786,             0.98114,             0.97289,             0.72406,            0.012021,            0.010678,          0.00050016,           0.0022196,           0.0022196,           0.0022196
                  78,            0.013786,            0.013377,          0.00036801,             0.96122,             0.98244,             0.97367,             0.72284,            0.012064,            0.010897,          0.00035907,           0.0021245,           0.0021245,           0.0021245
                  79,            0.014104,            0.013668,          0.00059625,             0.96501,             0.97735,              0.9771,             0.70749,            0.011942,            0.010814,          0.00030416,           0.0020327,           0.0020327,           0.0020327
                  80,            0.014211,            0.013787,          0.00035956,             0.96524,              0.9775,             0.97711,             0.74282,             0.01184,             0.01079,          0.00032832,           0.0019443,           0.0019443,           0.0019443
                  81,            0.013839,             0.01344,           0.0006026,             0.96461,              0.9813,             0.97687,              0.7208,            0.011914,            0.011107,          0.00034593,           0.0018594,           0.0018594,           0.0018594
                  82,            0.013805,            0.013006,           0.0003256,             0.84835,             0.98058,             0.92218,             0.70551,            0.012186,            0.010923,          0.00036984,           0.0017781,           0.0017781,           0.0017781
                  83,             0.01419,            0.013904,          0.00038289,             0.85086,             0.98071,             0.92222,             0.69149,            0.011979,            0.011004,          0.00040018,           0.0017005,           0.0017005,           0.0017005
                  84,            0.014112,            0.013484,          0.00032214,             0.84758,              0.9813,             0.92217,             0.68555,            0.011893,            0.010948,          0.00044274,           0.0016267,           0.0016267,           0.0016267
                  85,            0.013544,            0.013212,          0.00063781,             0.96306,             0.97165,             0.97842,             0.71797,            0.012071,            0.011212,          0.00049878,           0.0015566,           0.0015566,           0.0015566
                  86,            0.013374,            0.013412,          0.00049759,             0.96401,              0.9812,             0.97681,             0.74143,            0.011886,            0.011039,          0.00036065,           0.0014905,           0.0014905,           0.0014905
                  87,            0.013219,            0.012979,          0.00029303,              0.9606,             0.98114,             0.97684,             0.71884,            0.011939,            0.010989,          0.00037119,           0.0014283,           0.0014283,           0.0014283
                  88,            0.013592,            0.013419,           0.0002901,             0.95605,             0.98106,             0.97684,             0.72276,            0.011838,            0.010975,          0.00032585,           0.0013701,           0.0013701,           0.0013701
                  89,            0.013515,            0.012982,          0.00027184,             0.96503,              0.9755,             0.97773,             0.73792,            0.011679,            0.010728,          0.00031278,            0.001316,            0.001316,            0.001316
                  90,            0.013808,            0.013541,          0.00034425,             0.96521,             0.96333,              0.9785,             0.72338,            0.011726,            0.010883,          0.00037926,            0.001266,            0.001266,            0.001266
                  91,            0.013757,            0.013405,          0.00036934,             0.96466,             0.96474,             0.97929,             0.74941,            0.011784,            0.010935,          0.00038632,           0.0012202,           0.0012202,           0.0012202
                  92,            0.013404,            0.013582,          0.00041029,             0.96548,             0.96764,             0.97777,             0.75818,            0.011593,            0.010496,           0.0003495,           0.0011787,           0.0011787,           0.0011787
                  93,            0.013315,            0.013393,          0.00037601,             0.96443,             0.98121,             0.97933,              0.7233,             0.01178,            0.010738,          0.00038257,           0.0011414,           0.0011414,           0.0011414
                  94,            0.013082,            0.012747,          0.00034569,             0.96566,             0.97992,             0.97842,             0.74325,            0.011907,            0.010962,          0.00035004,           0.0011084,           0.0011084,           0.0011084
                  95,            0.013491,            0.013133,          0.00037309,             0.85101,             0.98303,             0.92133,             0.71023,            0.011777,            0.010913,          0.00034485,           0.0010797,           0.0010797,           0.0010797
                  96,            0.013527,            0.013463,          0.00035373,              0.7928,              0.9813,             0.89289,             0.67528,            0.011924,            0.011226,          0.00036362,           0.0010554,           0.0010554,           0.0010554
                  97,            0.013586,            0.013206,          0.00043448,             0.85286,             0.98004,             0.91959,             0.72235,            0.011559,            0.010828,          0.00035509,           0.0010355,           0.0010355,           0.0010355
                  98,            0.012812,            0.012986,          0.00020491,             0.96558,             0.97249,             0.97571,             0.76679,            0.011522,            0.010855,          0.00035607,             0.00102,             0.00102,             0.00102
                  99,            0.013468,            0.013159,          0.00037427,             0.96517,             0.96497,             0.97313,             0.76891,            0.011736,            0.011071,          0.00031884,           0.0010089,           0.0010089,           0.0010089
