               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.020218,            0.014918,           0.0089834,              0.5692,             0.89632,             0.68193,             0.50857,            0.013751,           0.0096709,            0.012165,           0.0092995,           0.0092995,           0.0092995
                  56,            0.020348,            0.014832,           0.0082735,             0.71922,             0.79937,             0.72803,             0.53671,            0.013347,           0.0095021,           0.0093274,            0.009274,            0.009274,            0.009274
                  57,             0.02031,            0.014471,           0.0076524,             0.73258,             0.71853,             0.77526,             0.55323,            0.013789,           0.0098568,           0.0096488,           0.0092481,           0.0092481,           0.0092481
                  58,            0.020034,            0.015258,           0.0086513,             0.75475,             0.67621,             0.74023,             0.57727,            0.012553,           0.0096768,            0.011622,           0.0092219,           0.0092219,           0.0092219
                  59,            0.020244,            0.014374,           0.0074423,              0.5741,              0.9438,             0.66045,             0.49485,            0.013349,            0.010068,            0.014431,           0.0091952,           0.0091952,           0.0091952
                  60,            0.020125,            0.014264,           0.0084641,             0.63075,             0.80646,             0.72926,             0.53978,             0.01366,            0.010293,            0.011541,           0.0091681,           0.0091681,           0.0091681
                  61,            0.019677,            0.013781,           0.0085247,              0.7245,             0.76118,             0.76181,             0.58281,            0.013341,           0.0096285,           0.0099529,           0.0091406,           0.0091406,           0.0091406
                  62,            0.020044,            0.014342,           0.0085903,             0.66106,             0.81256,             0.72533,              0.5472,            0.014071,            0.010271,           0.0099467,           0.0091127,           0.0091127,           0.0091127
                  63,            0.020332,            0.014839,           0.0085992,             0.71193,             0.68251,              0.6939,             0.51436,            0.013404,           0.0094718,            0.010746,           0.0090844,           0.0090844,           0.0090844
                  64,            0.019532,            0.014196,           0.0073931,             0.68615,             0.84395,             0.78063,              0.5895,            0.013666,            0.010452,           0.0096512,           0.0090557,           0.0090557,           0.0090557
                  65,            0.019677,            0.013835,           0.0081737,             0.54805,             0.93487,             0.71569,             0.52981,            0.013922,           0.0098453,            0.015809,           0.0090266,           0.0090266,           0.0090266
                  66,            0.019172,            0.015015,           0.0081454,              0.6461,              0.7021,             0.71704,             0.54552,            0.013153,            0.010261,            0.010899,           0.0089972,           0.0089972,           0.0089972
                  67,            0.019099,            0.014707,           0.0077465,             0.67926,             0.71812,             0.76106,             0.57156,            0.013764,           0.0099337,           0.0092648,           0.0089673,           0.0089673,           0.0089673
                  68,            0.018921,            0.014646,           0.0081756,             0.67663,             0.92328,             0.86283,             0.64692,             0.01411,            0.011123,           0.0065925,           0.0089371,           0.0089371,           0.0089371
                  69,            0.019657,            0.014815,           0.0072561,             0.79195,             0.75406,              0.8689,             0.65107,             0.01407,            0.010576,            0.007986,           0.0089065,           0.0089065,           0.0089065
                  70,            0.020259,            0.014474,           0.0079094,             0.66485,             0.71238,             0.73522,             0.57917,            0.013869,            0.010335,            0.010634,           0.0088755,           0.0088755,           0.0088755
                  71,            0.018816,            0.013841,           0.0068108,             0.82011,             0.66433,             0.76337,             0.59268,            0.013425,            0.010321,            0.008936,           0.0088442,           0.0088442,           0.0088442
                  72,            0.018739,            0.013651,           0.0071017,             0.64536,             0.86569,             0.74383,             0.57051,            0.013539,            0.009674,            0.010329,           0.0088124,           0.0088124,           0.0088124
                  73,            0.019038,            0.014105,           0.0074959,             0.63343,             0.88715,             0.78169,             0.57862,            0.013586,           0.0093204,           0.0086413,           0.0087804,           0.0087804,           0.0087804
                  74,            0.020198,             0.01458,             0.00824,             0.73567,             0.72546,             0.78433,             0.58637,            0.014596,            0.010183,           0.0093024,           0.0087479,           0.0087479,           0.0087479
                  75,            0.019177,            0.014628,           0.0073751,              0.8463,             0.63306,             0.77206,             0.58181,            0.013089,            0.010299,           0.0098618,           0.0087151,           0.0087151,           0.0087151
                  76,             0.01944,            0.014934,           0.0072217,             0.78764,             0.62932,             0.73461,             0.56318,            0.013071,             0.01077,            0.011253,            0.008682,            0.008682,            0.008682
                  77,            0.019271,            0.014396,           0.0075116,             0.73846,             0.72056,             0.72803,              0.5523,            0.014319,            0.010171,           0.0098864,           0.0086485,           0.0086485,           0.0086485
                  78,             0.02003,            0.014128,           0.0069087,             0.62806,             0.91151,             0.73113,             0.55012,            0.013356,            0.010178,           0.0097454,           0.0086146,           0.0086146,           0.0086146
                  79,            0.018166,            0.014543,           0.0067103,             0.65298,             0.80189,             0.74404,             0.55946,             0.01453,            0.010426,           0.0095587,           0.0085805,           0.0085805,           0.0085805
                  80,            0.018521,            0.014179,           0.0070296,             0.60496,             0.85642,             0.72413,             0.53396,            0.013976,            0.010701,            0.012191,           0.0085459,           0.0085459,           0.0085459
                  81,             0.01853,            0.013697,           0.0072833,             0.69116,             0.73687,             0.71581,             0.53311,             0.01403,            0.010488,            0.013865,           0.0085111,           0.0085111,           0.0085111
                  82,            0.018803,            0.014506,           0.0073764,             0.82029,             0.67889,             0.84891,             0.64107,            0.014273,            0.010348,            0.010294,           0.0084759,           0.0084759,           0.0084759
                  83,            0.018456,            0.013546,            0.008343,             0.77305,             0.74612,             0.83083,             0.62785,            0.013566,            0.010963,           0.0081086,           0.0084404,           0.0084404,           0.0084404
                  84,            0.018465,            0.013623,           0.0076585,             0.66496,             0.90714,              0.7428,             0.56422,            0.014093,            0.011159,            0.008512,           0.0084046,           0.0084046,           0.0084046
                  85,            0.018011,            0.013951,           0.0067011,             0.61799,             0.89721,             0.71236,              0.5303,             0.01433,            0.010962,            0.011672,           0.0083684,           0.0083684,           0.0083684
                  86,            0.019289,            0.013817,           0.0069577,             0.64348,             0.86609,             0.73208,             0.55954,            0.013631,           0.0099377,            0.010181,           0.0083319,           0.0083319,           0.0083319
                  87,            0.019069,            0.014296,           0.0059781,             0.55717,             0.88498,             0.67281,             0.51719,            0.012917,            0.010306,            0.015483,           0.0082952,           0.0082952,           0.0082952
                  88,            0.018302,            0.013822,           0.0073365,             0.59004,             0.88051,             0.70934,             0.55652,            0.013252,            0.010664,            0.011225,           0.0082581,           0.0082581,           0.0082581
                  89,            0.018002,            0.013712,           0.0066432,             0.59525,             0.91432,             0.78448,             0.59529,            0.013692,            0.011607,            0.010314,           0.0082207,           0.0082207,           0.0082207
                  90,            0.018825,            0.014029,           0.0060013,             0.65818,             0.76215,             0.66443,             0.49496,             0.01423,            0.011011,            0.015013,            0.008183,            0.008183,            0.008183
                  91,            0.018326,            0.014071,           0.0063197,             0.72131,             0.70133,             0.75031,             0.57414,            0.013894,            0.010752,            0.012215,            0.008145,            0.008145,            0.008145
                  92,            0.018226,            0.014134,           0.0064851,             0.51969,             0.92719,             0.62497,             0.48596,            0.013374,           0.0097315,            0.016427,           0.0081068,           0.0081068,           0.0081068
                  93,            0.018551,            0.013776,           0.0068275,             0.66403,             0.86936,             0.83366,             0.63597,            0.014188,            0.010229,            0.010327,           0.0080682,           0.0080682,           0.0080682
                  94,            0.018211,            0.013944,           0.0074516,             0.59513,              0.8404,             0.76513,             0.57052,            0.014044,             0.01042,            0.012694,           0.0080294,           0.0080294,           0.0080294
                  95,            0.018204,             0.01381,           0.0063591,             0.62475,             0.88137,             0.77992,              0.5946,            0.013265,            0.010319,            0.010974,           0.0079903,           0.0079903,           0.0079903
                  96,             0.01767,            0.013786,           0.0060082,             0.61756,             0.89371,             0.75528,             0.56775,            0.013843,            0.010789,            0.014319,           0.0079509,           0.0079509,           0.0079509
                  97,            0.018199,            0.014132,           0.0067307,              0.5871,             0.88032,             0.76052,             0.57527,            0.013338,             0.01076,            0.015379,           0.0079112,           0.0079112,           0.0079112
                  98,            0.017709,            0.013757,           0.0064271,             0.82264,             0.60386,             0.75749,             0.56339,            0.013609,            0.011027,            0.010792,           0.0078713,           0.0078713,           0.0078713
                  99,             0.01815,            0.014043,           0.0063597,             0.83621,              0.6878,             0.84635,             0.62932,            0.013669,            0.010797,            0.011484,           0.0078311,           0.0078311,           0.0078311
                 100,            0.017616,            0.013502,           0.0062108,               0.669,               0.901,             0.80989,             0.57549,            0.014243,            0.010508,           0.0098042,           0.0077907,           0.0077907,           0.0077907
                 101,            0.018121,            0.013701,           0.0058686,             0.77381,             0.67384,             0.77712,             0.58854,            0.014106,            0.011091,            0.013028,             0.00775,             0.00775,             0.00775
                 102,            0.018556,            0.013961,           0.0062539,             0.60093,             0.90126,              0.7154,             0.53283,            0.014093,            0.011494,            0.013804,           0.0077091,           0.0077091,           0.0077091
                 103,            0.018138,            0.013433,           0.0061076,             0.63306,             0.90673,             0.77813,             0.59071,            0.013191,            0.010614,            0.009271,           0.0076679,           0.0076679,           0.0076679
                 104,            0.017594,            0.013593,           0.0068686,             0.69009,             0.75915,             0.81981,               0.609,            0.014076,            0.010883,           0.0095089,           0.0076265,           0.0076265,           0.0076265
                 105,            0.017642,            0.013612,           0.0067672,             0.56788,             0.93461,             0.67991,             0.51032,            0.013424,             0.01058,            0.015079,           0.0075848,           0.0075848,           0.0075848
                 106,             0.01797,            0.014065,           0.0058428,             0.63887,             0.92009,             0.73472,             0.53836,            0.013983,            0.010308,            0.011058,            0.007543,            0.007543,            0.007543
                 107,            0.018259,            0.013486,           0.0054733,               0.621,             0.90252,             0.72904,             0.54896,            0.014108,            0.010495,            0.013344,           0.0075009,           0.0075009,           0.0075009
                 108,             0.01764,            0.013778,           0.0065357,              0.6213,             0.85311,             0.72282,             0.55242,            0.012788,            0.010059,            0.013487,           0.0074585,           0.0074585,           0.0074585
                 109,            0.017428,            0.013653,           0.0059377,             0.59695,             0.85233,             0.71016,             0.53854,            0.012907,             0.01037,            0.013299,            0.007416,            0.007416,            0.007416
                 110,            0.017325,            0.013192,           0.0058639,             0.57938,             0.84026,             0.65293,             0.49629,            0.014005,            0.010993,            0.018446,           0.0073733,           0.0073733,           0.0073733
                 111,            0.017879,            0.013384,           0.0057586,             0.59505,             0.87159,             0.70826,              0.5295,            0.013188,            0.010439,            0.013319,           0.0073303,           0.0073303,           0.0073303
                 112,             0.01763,            0.013615,           0.0068293,             0.63207,             0.89953,             0.73898,             0.55824,            0.014288,            0.011537,            0.011009,           0.0072872,           0.0072872,           0.0072872
                 113,            0.018102,             0.01372,           0.0062042,             0.59345,             0.90781,             0.68492,             0.50703,            0.014398,            0.011065,            0.013407,           0.0072438,           0.0072438,           0.0072438
                 114,            0.017472,            0.013477,           0.0059547,             0.62275,             0.81539,             0.70383,             0.52753,            0.013841,            0.010464,            0.014246,           0.0072003,           0.0072003,           0.0072003
                 115,            0.017145,             0.01331,           0.0063843,              0.5828,             0.88051,             0.70194,             0.52622,            0.014051,            0.010606,            0.014843,           0.0071566,           0.0071566,           0.0071566
                 116,            0.017479,            0.013752,           0.0066929,             0.61439,             0.87868,             0.68227,             0.53632,            0.012851,            0.009822,            0.016404,           0.0071127,           0.0071127,           0.0071127
                 117,            0.016887,             0.01273,            0.006045,              0.7045,             0.88794,             0.82717,             0.61386,            0.013888,            0.010338,           0.0098374,           0.0070686,           0.0070686,           0.0070686
                 118,            0.017477,            0.013171,            0.006351,             0.66538,             0.86975,              0.7793,             0.58442,            0.014122,            0.011251,            0.011757,           0.0070243,           0.0070243,           0.0070243
                 119,            0.016946,            0.012991,           0.0059664,             0.74289,              0.7611,             0.82921,             0.60314,             0.01352,            0.010549,            0.010554,           0.0069799,           0.0069799,           0.0069799
                 120,            0.017439,            0.013838,           0.0064556,             0.69324,             0.75918,             0.73915,               0.562,             0.01392,            0.010522,             0.01122,           0.0069353,           0.0069353,           0.0069353
                 121,            0.016735,            0.013298,            0.005678,             0.66399,             0.77452,              0.6736,             0.51724,            0.013991,            0.010492,            0.015135,           0.0068906,           0.0068906,           0.0068906
                 122,            0.016411,            0.013212,           0.0063902,             0.71351,             0.62631,             0.67416,              0.5052,            0.013894,            0.011111,            0.015177,           0.0068457,           0.0068457,           0.0068457
                 123,            0.016674,            0.012942,           0.0053763,             0.53202,             0.89653,             0.66237,             0.49905,             0.01399,            0.010742,            0.019978,           0.0068006,           0.0068006,           0.0068006
                 124,            0.017443,            0.013401,           0.0060844,             0.58994,             0.82621,              0.6904,             0.50873,             0.01425,            0.011244,            0.019066,           0.0067555,           0.0067555,           0.0067555
                 125,            0.016778,            0.013318,           0.0053435,             0.58966,             0.85293,             0.69536,             0.52887,            0.014106,             0.01065,            0.016241,           0.0067101,           0.0067101,           0.0067101
                 126,            0.017643,            0.013468,           0.0056012,              0.6216,              0.8554,             0.72195,             0.54875,            0.014169,            0.011492,            0.015476,           0.0066647,           0.0066647,           0.0066647
                 127,            0.017522,            0.013573,           0.0050955,             0.58589,             0.87421,             0.71027,             0.53743,            0.014579,            0.011354,            0.018946,           0.0066191,           0.0066191,           0.0066191
                 128,            0.017753,             0.01345,           0.0047469,             0.61715,             0.85608,             0.72603,             0.56495,            0.013769,            0.010345,            0.017343,           0.0065734,           0.0065734,           0.0065734
                 129,            0.016606,             0.01327,           0.0051945,             0.62805,             0.90521,             0.76772,             0.57959,            0.013867,            0.011044,            0.012997,           0.0065276,           0.0065276,           0.0065276
                 130,            0.016542,            0.013138,           0.0050609,             0.61966,             0.72794,              0.6273,              0.4786,            0.013935,            0.010994,            0.019929,           0.0064816,           0.0064816,           0.0064816
                 131,            0.016952,            0.013292,           0.0045944,              0.7708,             0.66165,             0.71877,             0.54994,            0.014523,            0.010585,            0.017128,           0.0064356,           0.0064356,           0.0064356
                 132,            0.017376,            0.013076,           0.0057756,             0.74105,             0.74135,             0.73453,             0.55276,            0.013911,            0.010493,             0.01137,           0.0063895,           0.0063895,           0.0063895
                 133,            0.016081,            0.013171,           0.0056471,             0.71042,             0.77258,             0.73733,             0.54836,            0.013856,            0.010713,            0.010597,           0.0063432,           0.0063432,           0.0063432
                 134,            0.016553,            0.013098,           0.0048722,             0.62074,             0.82135,             0.69855,             0.51646,            0.014554,             0.01123,            0.018248,           0.0062969,           0.0062969,           0.0062969
                 135,            0.016725,            0.013184,           0.0050069,             0.56975,             0.87868,             0.65927,               0.495,            0.013524,            0.010855,            0.022529,           0.0062505,           0.0062505,           0.0062505
                 136,            0.017081,            0.013083,           0.0059746,             0.63551,             0.85982,               0.724,             0.53603,            0.013968,            0.011073,            0.016223,            0.006204,            0.006204,            0.006204
                 137,            0.016905,            0.013349,           0.0060384,             0.60675,             0.89978,              0.7327,             0.54703,            0.014453,            0.011032,            0.014669,           0.0061574,           0.0061574,           0.0061574
                 138,            0.016781,            0.013304,            0.005018,             0.63483,             0.82305,             0.71925,             0.55005,            0.013555,            0.010652,            0.016651,           0.0061107,           0.0061107,           0.0061107
                 139,            0.015996,             0.01287,           0.0049213,             0.62791,             0.83141,             0.70578,             0.53499,            0.014079,            0.010972,            0.016938,            0.006064,            0.006064,            0.006064
                 140,            0.016253,            0.013122,           0.0052534,              0.6424,             0.89818,             0.80508,             0.60574,             0.01385,            0.010994,            0.011717,           0.0060172,           0.0060172,           0.0060172
                 141,            0.016543,            0.012841,            0.005243,             0.59701,               0.885,             0.76078,             0.56114,            0.013993,            0.010933,            0.014815,           0.0059704,           0.0059704,           0.0059704
                 142,            0.015822,            0.012981,            0.005136,              0.7555,             0.73262,              0.7845,             0.58281,            0.013918,            0.011061,            0.010889,           0.0059235,           0.0059235,           0.0059235
                 143,            0.016521,            0.013491,           0.0049576,             0.62347,             0.76184,             0.78201,              0.5693,            0.013845,            0.011062,            0.015312,           0.0058766,           0.0058766,           0.0058766
                 144,             0.01633,            0.013014,           0.0048747,               0.576,             0.87605,             0.76929,             0.57675,            0.013665,            0.011066,            0.015328,           0.0058296,           0.0058296,           0.0058296
                 145,            0.016111,             0.01316,           0.0047754,             0.71813,             0.70116,             0.80297,              0.5948,            0.014169,            0.011465,            0.014783,           0.0057826,           0.0057826,           0.0057826
                 146,            0.016173,            0.013239,           0.0053363,             0.66403,             0.71565,             0.71871,             0.52986,            0.014013,            0.011033,            0.018415,           0.0057355,           0.0057355,           0.0057355
                 147,            0.015588,            0.012939,           0.0045109,             0.62028,             0.87813,             0.76324,             0.57143,            0.014696,            0.011063,            0.014602,           0.0056884,           0.0056884,           0.0056884
                 148,            0.015745,            0.012337,           0.0047868,             0.64776,             0.82235,             0.71302,             0.51616,            0.015191,            0.011592,            0.016824,           0.0056413,           0.0056413,           0.0056413
                 149,            0.015811,            0.012527,           0.0047365,             0.63922,             0.81388,             0.68196,             0.50272,            0.015238,            0.012082,            0.018172,           0.0055942,           0.0055942,           0.0055942
                 150,             0.01656,            0.013174,           0.0048769,             0.76215,             0.66948,             0.76264,             0.58108,            0.013945,            0.010889,            0.012265,           0.0055471,           0.0055471,           0.0055471
                 151,            0.016048,            0.012739,           0.0056284,             0.84157,             0.60414,             0.84472,             0.62322,            0.015011,            0.011082,            0.014446,              0.0055,              0.0055,              0.0055
                 152,            0.015856,            0.012377,           0.0046649,             0.61651,             0.88314,             0.74868,             0.53958,            0.015285,            0.011216,            0.017807,           0.0054529,           0.0054529,           0.0054529
                 153,            0.016608,            0.013031,           0.0050233,              0.6522,             0.86975,             0.71621,             0.53728,            0.015043,             0.01099,            0.015783,           0.0054058,           0.0054058,           0.0054058
                 154,            0.016171,            0.012495,            0.004742,             0.60821,             0.82684,             0.70762,             0.52319,            0.015248,            0.011631,            0.019914,           0.0053587,           0.0053587,           0.0053587
                 155,            0.016186,            0.012228,            0.005149,             0.58343,             0.91439,             0.71256,             0.54419,            0.013691,            0.011491,             0.01754,           0.0053116,           0.0053116,           0.0053116
                 156,             0.01617,             0.01308,           0.0050701,             0.63577,             0.87333,             0.76373,             0.57431,            0.014246,            0.011346,            0.014766,           0.0052645,           0.0052645,           0.0052645
                 157,            0.015386,            0.012697,           0.0050463,             0.67232,             0.81801,             0.76309,             0.57086,            0.014594,            0.011632,            0.014964,           0.0052174,           0.0052174,           0.0052174
                 158,            0.015465,            0.012791,           0.0047887,             0.67881,             0.86944,             0.77199,             0.57666,            0.014674,            0.011335,            0.012118,           0.0051704,           0.0051704,           0.0051704
                 159,            0.015892,            0.012598,           0.0045719,             0.68301,             0.79297,             0.75957,             0.57268,             0.01467,            0.011487,            0.014485,           0.0051234,           0.0051234,           0.0051234
