               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071826,            0.038856,            0.021979,             0.28294,             0.53504,             0.31859,             0.10682,            0.039153,            0.022032,            0.011027,             0.00315,             0.00315,             0.07165
                   1,            0.055754,            0.027836,            0.019415,             0.33003,             0.80121,             0.56292,             0.16011,            0.043404,            0.015409,           0.0098333,           0.0063098,           0.0063098,             0.04321
                   2,             0.05653,             0.02284,            0.018186,              0.4427,             0.93404,             0.66034,             0.35466,            0.038002,            0.013936,           0.0094634,           0.0094691,           0.0094691,            0.014769
                   3,            0.049464,            0.021871,            0.017991,             0.61861,             0.73529,             0.65578,             0.27461,            0.030003,            0.014494,           0.0089706,           0.0099978,           0.0099978,           0.0099978
                   4,             0.04174,            0.020756,            0.017979,             0.68837,             0.94118,             0.81177,             0.38676,            0.027286,            0.013836,            0.009685,           0.0099978,           0.0099978,           0.0099978
                   5,            0.036372,            0.019732,            0.017761,             0.75705,             0.94118,             0.86952,             0.54197,            0.024324,            0.011736,           0.0071022,           0.0099961,           0.0099961,           0.0099961
                   6,            0.035124,            0.018388,            0.016736,             0.92186,             0.93225,             0.95803,             0.58088,            0.021813,            0.011313,           0.0066377,           0.0099938,           0.0099938,           0.0099938
                   7,            0.032038,            0.017514,            0.016047,             0.77207,                   1,             0.93745,             0.63943,            0.019079,            0.011085,           0.0075788,           0.0099911,           0.0099911,           0.0099911
                   8,             0.02941,            0.017768,            0.015983,              0.7678,             0.93225,              0.8827,             0.58052,            0.017577,            0.010668,             0.00762,           0.0099879,           0.0099879,           0.0099879
                   9,            0.028058,            0.017343,            0.015334,             0.65518,             0.92332,             0.81829,             0.50299,            0.018827,            0.010354,           0.0084785,           0.0099842,           0.0099842,           0.0099842
                  10,            0.028165,            0.017338,            0.014029,             0.74831,             0.86712,             0.86161,             0.53343,            0.019644,            0.011494,           0.0097963,             0.00998,             0.00998,             0.00998
                  11,            0.028581,            0.017375,            0.014922,             0.79757,             0.88944,             0.89327,             0.61691,            0.018346,            0.010844,           0.0064028,           0.0099753,           0.0099753,           0.0099753
                  12,            0.025831,            0.016927,            0.013362,             0.71018,             0.97059,             0.86301,             0.64087,            0.016567,            0.010249,           0.0054781,           0.0099702,           0.0099702,           0.0099702
                  13,             0.02509,            0.016051,            0.014583,             0.67505,             0.78614,             0.74981,             0.53479,            0.017143,            0.010336,           0.0089705,           0.0099645,           0.0099645,           0.0099645
                  14,            0.026704,            0.017164,            0.013843,             0.63114,             0.91804,              0.8096,             0.53686,            0.017454,            0.010576,           0.0081127,           0.0099584,           0.0099584,           0.0099584
                  15,            0.026113,            0.016677,            0.013019,             0.92299,             0.61836,             0.87876,             0.58869,            0.018168,            0.010405,           0.0095793,           0.0099517,           0.0099517,           0.0099517
                  16,            0.025001,            0.016241,            0.012479,             0.70463,             0.86065,             0.81278,              0.5457,            0.015144,             0.00994,           0.0074922,           0.0099446,           0.0099446,           0.0099446
                  17,              0.0239,            0.016286,            0.011311,              0.5633,             0.96875,             0.74054,             0.52366,            0.015514,            0.010117,            0.014201,            0.009937,            0.009937,            0.009937
                  18,            0.023141,            0.015808,            0.012079,               0.722,             0.70547,             0.77554,             0.52802,             0.01592,           0.0099917,           0.0093948,           0.0099289,           0.0099289,           0.0099289
                  19,            0.023228,            0.016026,            0.011703,             0.77326,             0.78631,             0.84692,             0.59421,            0.018742,            0.010223,           0.0065276,           0.0099203,           0.0099203,           0.0099203
                  20,            0.025298,            0.016614,            0.011919,             0.62695,             0.88641,             0.80385,             0.57093,            0.014947,            0.010172,           0.0076322,           0.0099112,           0.0099112,           0.0099112
                  21,            0.023738,            0.015916,            0.011013,             0.56056,             0.90643,              0.7422,             0.51222,            0.017796,            0.010677,            0.013929,           0.0099017,           0.0099017,           0.0099017
                  22,            0.024223,            0.016188,            0.011328,             0.81672,             0.81031,             0.81027,             0.54361,            0.016717,            0.010427,           0.0082123,           0.0098916,           0.0098916,           0.0098916
                  23,            0.024493,            0.016213,            0.010804,             0.68046,             0.67975,             0.78639,              0.5483,            0.015904,           0.0097035,           0.0097839,           0.0098811,           0.0098811,           0.0098811
                  24,            0.023688,             0.01602,            0.011277,             0.68524,             0.70667,             0.79767,             0.59227,             0.01385,           0.0098147,           0.0099337,           0.0098701,           0.0098701,           0.0098701
                  25,            0.022904,            0.016013,            0.011867,             0.57379,             0.86488,             0.66906,             0.45874,            0.015718,            0.010485,            0.012427,           0.0098586,           0.0098586,           0.0098586
                  26,            0.021892,            0.016002,            0.010966,             0.69103,             0.69392,             0.78652,             0.56532,            0.015007,            0.010154,           0.0097348,           0.0098467,           0.0098467,           0.0098467
                  27,             0.02262,            0.015457,            0.010866,             0.59247,             0.84041,             0.71242,             0.51861,            0.014603,            0.010168,            0.011777,           0.0098342,           0.0098342,           0.0098342
                  28,            0.022653,            0.016223,            0.010395,             0.61787,             0.80843,             0.74736,              0.5177,            0.015762,            0.010006,            0.011466,           0.0098213,           0.0098213,           0.0098213
                  29,             0.02232,            0.016192,            0.010189,             0.71263,             0.70299,             0.70148,             0.51642,            0.014368,            0.010593,            0.010499,           0.0098079,           0.0098079,           0.0098079
                  30,            0.022537,            0.015853,            0.010509,             0.60832,             0.73778,             0.68261,             0.49972,             0.01502,            0.010247,            0.012288,           0.0097941,           0.0097941,           0.0097941
                  31,            0.022362,            0.015363,            0.010985,             0.77663,             0.78342,             0.88104,             0.62939,            0.014608,            0.010831,           0.0099694,           0.0097798,           0.0097798,           0.0097798
                  32,            0.022992,            0.015493,            0.010747,             0.55165,              0.9236,             0.68709,             0.47052,            0.015628,            0.010606,            0.016458,            0.009765,            0.009765,            0.009765
                  33,            0.021681,            0.015589,            0.010584,             0.68193,             0.75768,             0.69518,             0.49308,            0.015845,            0.010711,            0.011006,           0.0097497,           0.0097497,           0.0097497
                  34,            0.021757,             0.01541,            0.010785,             0.60743,             0.90766,             0.75412,             0.54119,            0.015227,            0.010504,            0.011053,            0.009734,            0.009734,            0.009734
                  35,            0.021136,            0.015255,            0.010091,             0.60405,             0.90362,             0.72826,             0.54583,            0.014016,           0.0098077,            0.011542,           0.0097178,           0.0097178,           0.0097178
                  36,            0.022595,            0.014894,           0.0094475,             0.72366,             0.76812,             0.73336,             0.48901,             0.01413,            0.010047,            0.010069,           0.0097011,           0.0097011,           0.0097011
                  37,            0.021268,            0.014559,           0.0094701,             0.75023,             0.75655,             0.73551,             0.55014,            0.013784,            0.010477,           0.0082546,            0.009684,            0.009684,            0.009684
                  38,            0.021819,            0.015728,            0.010256,             0.71415,             0.77536,              0.7283,             0.51907,            0.015167,            0.010368,           0.0092887,           0.0096664,           0.0096664,           0.0096664
                  39,            0.022038,            0.015225,           0.0094359,             0.69346,             0.88034,             0.84397,             0.63324,            0.013393,            0.010019,            0.006901,           0.0096484,           0.0096484,           0.0096484
                  40,            0.020991,            0.014858,           0.0099744,             0.77928,             0.76801,             0.87551,             0.62298,            0.015094,            0.010242,           0.0088023,           0.0096299,           0.0096299,           0.0096299
                  41,            0.021582,            0.015054,            0.010263,             0.68168,             0.87337,             0.84235,             0.59385,            0.016648,            0.010248,           0.0061181,            0.009611,            0.009611,            0.009611
                  42,            0.021265,              0.0149,           0.0097852,             0.73022,             0.78779,             0.75919,             0.56627,            0.013868,            0.010103,           0.0093912,           0.0095916,           0.0095916,           0.0095916
                  43,            0.020292,            0.014437,           0.0093555,             0.60255,             0.92332,             0.74259,             0.57624,            0.013661,            0.009784,            0.010252,           0.0095717,           0.0095717,           0.0095717
                  44,            0.021573,            0.015373,           0.0089373,             0.68682,             0.82878,             0.73196,              0.5326,            0.014798,            0.010288,           0.0082939,           0.0095514,           0.0095514,           0.0095514
                  45,            0.020425,            0.015376,           0.0083911,             0.63992,             0.91004,             0.73013,             0.54586,            0.013219,           0.0098389,            0.010741,           0.0095307,           0.0095307,           0.0095307
                  46,             0.02051,            0.015308,           0.0092903,             0.64769,             0.85366,             0.74523,              0.5517,            0.014527,            0.010087,           0.0098902,           0.0095095,           0.0095095,           0.0095095
                  47,            0.020279,            0.014679,            0.008675,              0.6224,             0.82988,             0.69671,             0.54798,             0.01323,            0.010261,            0.013225,           0.0094879,           0.0094879,           0.0094879
                  48,            0.019927,            0.014479,           0.0086188,              0.7077,             0.73163,             0.70581,             0.51726,            0.014607,            0.010088,           0.0093826,           0.0094659,           0.0094659,           0.0094659
                  49,            0.020394,             0.01453,           0.0086272,             0.61192,             0.86942,             0.72666,             0.56244,            0.014314,           0.0097466,            0.011349,           0.0094434,           0.0094434,           0.0094434
                  50,            0.020716,            0.014659,           0.0079353,             0.70622,             0.73247,             0.79862,             0.60297,             0.01444,            0.010126,            0.011593,           0.0094205,           0.0094205,           0.0094205
                  51,            0.020482,            0.015065,           0.0080981,             0.65135,             0.67988,             0.69828,             0.52614,            0.013694,            0.010295,            0.012352,           0.0093971,           0.0093971,           0.0093971
                  52,            0.020766,            0.014337,           0.0091442,             0.72032,             0.80749,             0.80099,             0.60142,            0.013675,            0.009855,           0.0079232,           0.0093733,           0.0093733,           0.0093733
                  53,            0.020543,            0.014386,           0.0094946,             0.70809,             0.79304,             0.75054,             0.58167,            0.012961,           0.0097234,            0.010506,           0.0093491,           0.0093491,           0.0093491
                  54,             0.02142,            0.015619,           0.0094486,              0.6586,              0.7681,             0.75999,             0.56965,             0.01323,           0.0094834,            0.011064,           0.0093245,           0.0093245,           0.0093245
